tick,sirstate,n
338.1,2,10000
339.1,2,10000
340.1,2,10000
341.1,2,10000
342.1,2,10000
343.1,2,10000
344.1,2,10000
345.1,2,10000
346.1,2,10000
347.1,2,10000
348.1,2,10000
349.1,2,10000
350.1,2,10000
351.1,2,10000
352.1,2,10000
353.1,2,10000
354.1,2,10000
355.1,2,10000
356.1,2,10000
357.1,2,10000
358.1,2,10000
359.1,2,10000
360.1,2,10000
361.1,2,10000
362.1,2,10000
363.1,2,10000
364.1,2,10000
365.1,2,10000
366.1,2,10000
367.1,2,10000
368.1,2,10000
369.1,2,10000
370.1,2,10000
371.1,2,10000
372.1,2,10000
373.1,2,10000
374.1,2,10000
375.1,2,10000
376.1,2,10000
377.1,2,10000
378.1,2,10000
379.1,2,10000
380.1,2,10000
381.1,2,10000
382.1,2,10000
383.1,2,10000
384.1,2,10000
385.1,2,10000
386.1,2,10000
387.1,2,10000
388.1,2,10000
389.1,2,10000
390.1,2,10000
391.1,2,10000
392.1,2,10000
393.1,2,10000
394.1,2,10000
395.1,2,10000
396.1,2,10000
397.1,2,10000
398.1,2,10000
399.1,2,10000
400.1,2,10000
401.1,2,10000
402.1,2,10000
403.1,2,10000
404.1,2,10000
405.1,2,10000
406.1,2,10000
407.1,2,10000
408.1,2,10000
409.1,2,10000
410.1,2,10000
411.1,2,10000
412.1,2,10000
413.1,2,10000
414.1,2,10000
415.1,2,10000
416.1,2,10000
417.1,2,10000
418.1,2,10000
419.1,2,10000
420.1,2,10000
421.1,2,10000
422.1,2,10000
423.1,2,10000
424.1,2,10000
425.1,2,10000
426.1,2,10000
427.1,2,10000
428.1,2,10000
429.1,2,10000
430.1,2,10000
431.1,2,10000
432.1,2,10000
433.1,2,10000
434.1,2,10000
435.1,2,10000
436.1,2,10000
437.1,2,10000
438.1,2,10000
439.1,2,10000
440.1,2,10000
441.1,2,10000
442.1,2,10000
443.1,2,10000
444.1,2,10000
445.1,2,10000
446.1,2,10000
447.1,2,10000
448.1,2,10000
449.1,2,10000
450.1,2,10000
451.1,2,10000
452.1,2,10000
453.1,2,10000
454.1,2,10000
455.1,2,10000
456.1,2,10000
457.1,2,10000
458.1,2,10000
459.1,2,10000
460.1,2,10000
461.1,2,10000
462.1,2,10000
463.1,2,10000
464.1,2,10000
465.1,2,10000
466.1,2,10000
467.1,2,10000
468.1,2,10000
469.1,2,10000
470.1,2,10000
471.1,2,10000
472.1,2,10000
473.1,2,10000
474.1,2,10000
475.1,2,10000
476.1,2,10000
477.1,2,10000
478.1,2,10000
479.1,2,10000
480.1,2,10000
481.1,2,10000
482.1,2,10000
483.1,2,10000
484.1,2,10000
485.1,2,10000
486.1,2,10000
487.1,2,10000
488.1,2,10000
489.1,2,10000
490.1,2,10000
491.1,2,10000
492.1,2,10000
493.1,2,10000
494.1,2,10000
495.1,2,10000
496.1,2,10000
497.1,2,10000
498.1,2,10000
499.1,2,10000
500.1,2,10000
501.1,2,10000
502.1,2,10000
503.1,2,10000
504.1,2,10000
505.1,2,10000
506.1,2,10000
507.1,2,10000
508.1,2,10000
509.1,2,10000
510.1,2,10000
511.1,2,10000
512.1,2,10000
513.1,2,10000
514.1,2,10000
515.1,2,10000
516.1,2,10000
517.1,2,10000
518.1,2,10000
519.1,2,10000
520.1,2,10000
521.1,2,10000
522.1,2,10000
523.1,2,10000
524.1,2,10000
525.1,2,10000
526.1,2,10000
527.1,2,10000
528.1,2,10000
529.1,2,10000
530.1,2,10000
531.1,2,10000
532.1,2,10000
533.1,2,10000
534.1,2,10000
535.1,2,10000
536.1,2,10000
537.1,2,10000
538.1,2,10000
539.1,2,10000
540.1,2,10000
541.1,2,10000
542.1,2,10000
543.1,2,10000
544.1,2,10000
545.1,2,10000
546.1,2,10000
547.1,2,10000
548.1,2,10000
549.1,2,10000
550.1,2,10000
551.1,2,10000
552.1,2,10000
553.1,2,10000
554.1,2,10000
555.1,2,10000
556.1,2,10000
557.1,2,10000
558.1,2,10000
559.1,2,10000
560.1,2,10000
561.1,2,10000
562.1,2,10000
563.1,2,10000
564.1,2,10000
565.1,2,10000
566.1,2,10000
567.1,2,10000
568.1,2,10000
569.1,2,10000
570.1,2,10000
571.1,2,10000
572.1,2,10000
573.1,2,10000
